date,Close,MA5,MA20,spread,cross,signal,trade,MA10,MA30,spread_10_30,cross_10_30
2025-01-15,237.2,235.792,245.065,-9.272999999999996,0.0,0,0,237.85600000000005,247.786,-9.92999999999995,0.0
2025-01-16,236.26,236.31199999999998,243.99100000000004,-7.679000000000059,0.0,0,0,236.971,247.48466666666667,-10.513666666666666,0.0
2025-01-17,237.83,237.41199999999998,243.07650000000004,-5.664500000000061,0.0,0,0,236.358,247.33466666666666,-10.97666666666666,0.0
2025-01-20,251.85,241.13400000000001,243.21699999999996,-2.0829999999999416,0.0,0,0,237.23499999999999,247.3003333333333,-10.065333333333314,0.0
2025-01-21,250.51,242.72999999999996,243.25099999999998,-0.521000000000015,0.0,0,0,238.708,247.1713333333333,-8.46333333333331,0.0
2025-01-22,244.33,244.156,242.7395,1.4165000000000134,2.0,1,1,239.974,246.75233333333333,-6.778333333333336,0.0
2025-01-23,243.83,245.67000000000002,242.21599999999998,3.454000000000036,0.0,1,0,240.99099999999999,246.4323333333333,-5.4413333333333185,0.0
2025-01-24,248.18,247.74,242.246,5.494,0.0,1,0,242.57600000000002,246.03699999999998,-3.460999999999956,0.0
2025-01-27,244.56,246.282,242.05750000000003,4.224499999999978,0.0,1,0,243.708,245.74366666666668,-2.0356666666666854,0.0
2025-02-05,239.68,244.11599999999999,241.39600000000002,2.7199999999999704,0.0,1,0,243.423,245.282,-1.8590000000000089,0.0
2025-02-06,240.66,243.382,240.8125,2.569500000000005,0.0,1,0,243.76899999999995,244.63299999999998,-0.8640000000000327,0.0
2025-02-07,248.84,244.38400000000001,240.99899999999997,3.3850000000000477,0.0,1,0,245.027,244.33633333333333,0.6906666666666581,2.0
2025-02-10,246.01,243.95,241.1015,2.8485000000000014,0.0,1,0,245.84500000000003,243.9993333333333,1.845666666666716,0.0
2025-02-11,239.36,242.91,240.91549999999998,1.9945000000000164,0.0,1,0,244.596,243.67666666666665,0.9193333333333555,0.0
2025-02-12,242.86,243.546,241.26950000000002,2.27649999999997,0.0,1,0,243.831,243.44433333333333,0.38666666666665606,0.0
2025-02-13,248.95,245.204,242.1335,3.0705000000000098,0.0,1,0,244.29300000000003,243.25733333333335,1.0356666666666854,0.0
2025-02-14,257.27,246.88999999999996,243.31400000000002,3.5759999999999366,0.0,1,0,245.637,243.35633333333334,2.2806666666666615,0.0
2025-02-17,256.96,249.07999999999998,244.5455,4.53449999999998,0.0,1,0,246.51499999999996,243.66899999999998,2.845999999999975,0.0
2025-02-18,258.33,252.87399999999997,245.8,7.073999999999955,0.0,1,0,247.892,244.00233333333333,3.8896666666666704,0.0
2025-02-19,261.11,256.524,246.72899999999998,9.795000000000016,0.0,1,0,250.035,244.2756666666667,5.759333333333302,0.0
2025-02-20,257.76,258.28599999999994,247.757,10.52899999999994,0.0,1,0,251.74499999999998,244.45666666666668,7.2883333333332985,0.0
2025-02-21,263.11,259.454,249.09949999999998,10.35450000000003,0.0,1,0,253.17200000000003,245.05666666666667,8.115333333333353,0.0
2025-02-24,259.06,259.874,250.161,9.713000000000022,0.0,1,0,254.477,245.56,8.917000000000002,0.0
2025-02-25,257.04,259.616,250.42050000000003,9.195499999999953,0.0,1,0,256.245,246.02533333333335,10.219666666666654,0.0
2025-02-26,256.18,258.63,250.704,7.925999999999988,0.0,1,0,257.577,246.70533333333333,10.87166666666667,0.0
2025-02-27,257.56,258.59000000000003,251.36550000000003,7.224500000000006,0.0,1,0,258.438,247.56833333333333,10.86966666666666,0.0
2025-02-28,251.86,256.34000000000003,251.767,4.573000000000036,0.0,1,0,257.897,248.175,9.72199999999998,0.0
2025-03-03,261.09,256.746,252.4125,4.333499999999987,0.0,1,0,258.31000000000006,249.13366666666667,9.176333333333389,0.0
2025-03-04,250.56,255.45,252.7125,2.737499999999983,0.0,1,0,257.533,249.71099999999998,7.822000000000031,0.0
2025-03-05,248.55,253.92399999999998,253.156,0.7679999999999723,0.0,1,0,256.277,249.91166666666666,6.365333333333325,0.0
2025-03-06,251.87,252.786,253.7165,-0.930499999999995,-2.0,0,-1,255.68800000000002,250.4006666666667,5.287333333333322,0.0
2025-03-07,248.32,252.07799999999997,253.69050000000001,-1.6125000000000398,0.0,0,0,254.209,250.80266666666665,3.4063333333333503,0.0
2025-03-10,244.06,248.67200000000003,253.593,-4.920999999999964,0.0,0,0,252.70899999999997,251.0103333333333,1.6986666666666679,0.0
2025-03-11,242.76,247.112,253.763,-6.6510000000000105,0.0,0,0,251.281,250.70733333333334,0.5736666666666679,0.0
2025-03-12,242.06,245.81400000000002,253.723,-7.908999999999992,0.0,0,0,249.869,250.42566666666667,-0.556666666666672,-2.0
2025-03-13,240.78,243.596,253.3145,-9.718500000000006,0.0,0,0,248.19100000000003,250.30733333333333,-2.1163333333333014,0.0
2025-03-14,249.56,243.844,252.92900000000003,-9.085000000000036,0.0,0,0,247.961,250.49833333333336,-2.5373333333333505,0.0
2025-03-17,243.56,243.744,252.25900000000001,-8.515000000000015,0.0,0,0,246.208,250.34433333333334,-4.13633333333334,0.0
2025-03-18,244.56,244.10399999999998,251.57050000000004,-7.466500000000053,0.0,0,0,245.608,250.34433333333334,-4.736333333333334,0.0
2025-03-19,252.95,246.282,251.1625,-4.880499999999984,0.0,0,0,246.048,250.7866666666667,-4.738666666666688,0.0
2025-03-20,249.71,248.06800000000004,250.76,-2.6919999999999504,0.0,0,0,245.83199999999997,251.08833333333334,-5.256333333333373,0.0
2025-03-21,243.56,246.868,249.78249999999997,-2.9144999999999754,0.0,0,0,245.356,250.91233333333332,-5.556333333333328,0.0
2025-03-24,245.72,247.3,249.11549999999997,-1.8154999999999575,0.0,0,0,245.52200000000002,250.90266666666668,-5.380666666666656,0.0
2025-03-25,247.04,247.796,248.61549999999997,-0.8194999999999766,0.0,0,0,245.95,251.15866666666668,-5.208666666666687,0.0
2025-03-26,244.48,246.102,248.03050000000002,-1.9285000000000139,0.0,0,0,246.192,251.21266666666668,-5.020666666666671,0.0
2025-03-27,246.44,245.448,247.47449999999998,-2.02649999999997,0.0,0,0,246.75799999999998,251.129,-4.371000000000009,0.0
2025-03-28,244.36,245.608,247.09949999999998,-1.4914999999999736,0.0,0,0,246.23799999999997,250.69866666666667,-4.460666666666697,0.0
2025-03-31,240.5,244.564,246.07,-1.5060000000000002,0.0,0,0,245.93199999999996,250.15,-4.218000000000046,0.0
2025-04-01,236.62,242.48000000000002,245.373,-2.8929999999999723,0.0,0,0,245.138,249.42633333333336,-4.288333333333355,0.0
2025-04-02,236.7,240.92400000000004,244.78050000000002,-3.8564999999999827,0.0,0,0,243.513,248.61266666666668,-5.099666666666678,0.0
2025-04-03,230.64,237.76399999999998,243.71899999999997,-5.954999999999984,0.0,0,0,241.606,247.70866666666663,-6.102666666666636,0.0
2025-04-07,202.78,229.448,241.442,-11.994,0.0,0,0,237.52800000000002,245.69766666666666,-8.169666666666643,0.0
2025-04-08,206.61,222.67,239.5695,-16.899500000000018,0.0,0,0,233.61700000000002,243.94933333333333,-10.33233333333331,0.0
2025-04-09,198.95,215.13599999999997,237.379,-22.243000000000023,0.0,0,0,228.808,242.01299999999998,-13.204999999999984,0.0
2025-04-10,205.54,208.904,235.55299999999997,-26.648999999999972,0.0,0,0,224.914,240.325,-15.411000000000001,0.0
2025-04-11,211.56,205.08800000000002,234.092,-29.00399999999999,0.0,0,0,221.42600000000002,238.79166666666666,-17.36566666666664,0.0
2025-04-14,211.56,206.844,232.19199999999995,-25.347999999999956,0.0,0,0,218.14600000000002,237.44833333333332,-19.30233333333331,0.0
2025-04-15,215.71,208.664,230.7995,-22.135500000000008,0.0,0,0,215.667,235.93566666666666,-20.26866666666666,0.0
2025-04-16,212.45,211.36399999999998,229.19400000000002,-17.83000000000004,0.0,0,0,213.25,234.66533333333334,-21.415333333333336,0.0
2025-04-17,213.56,212.96800000000002,227.22449999999998,-14.25649999999996,0.0,0,0,210.936,233.499,-22.562999999999988,0.0
2025-04-18,213.02,213.26,225.39000000000001,-12.130000000000024,0.0,0,0,209.17399999999998,232.204,-23.03000000000003,0.0
2025-04-21,218.92,214.73200000000003,224.15800000000004,-9.426000000000016,0.0,0,0,210.788,231.22400000000002,-20.436000000000007,0.0
2025-04-22,222.78,216.14600000000002,223.01100000000002,-6.865000000000009,0.0,0,0,212.40500000000003,230.51466666666667,-18.10966666666664,0.0
2025-04-23,225.44,218.744,221.93099999999998,-3.1869999999999834,0.0,0,0,215.054,229.93733333333333,-14.883333333333326,0.0
2025-04-24,228.96,221.82399999999998,221.15499999999997,0.6690000000000111,2.0,1,1,217.39600000000002,229.50066666666666,-12.104666666666645,0.0
2025-04-25,228.69,224.958,220.2675,4.690499999999986,0.0,1,0,219.109,229.09766666666667,-9.98866666666666,0.0
2025-04-28,226.94,226.56199999999998,219.3965,7.16549999999998,0.0,1,0,220.647,228.34366666666665,-7.696666666666658,0.0
