date,Close,MA5,MA20
2025-01-16,236.26,236.31199999999998,243.99100000000004
2025-01-17,237.83,237.41199999999998,243.07650000000004
2025-01-20,251.85,241.13400000000001,243.21699999999996
2025-01-21,250.51,242.72999999999996,243.25099999999998
2025-01-22,244.33,244.156,242.7395
2025-01-23,243.83,245.67000000000002,242.21599999999998
2025-01-24,248.18,247.74,242.246
2025-01-27,244.56,246.282,242.05750000000003
2025-02-05,239.68,244.11599999999999,241.39600000000002
2025-02-06,240.66,243.382,240.8125
2025-02-07,248.84,244.38400000000001,240.99899999999997
2025-02-10,246.01,243.95,241.1015
2025-02-11,239.36,242.91,240.91549999999998
2025-02-12,242.86,243.546,241.26950000000002
2025-02-13,248.95,245.204,242.1335
2025-02-14,257.27,246.88999999999996,243.31400000000002
2025-02-17,256.96,249.07999999999998,244.5455
2025-02-18,258.33,252.87399999999997,245.8
2025-02-19,261.11,256.524,246.72899999999998
2025-02-20,257.76,258.28599999999994,247.757
2025-02-21,263.11,259.454,249.09949999999998
2025-02-24,259.06,259.874,250.161
2025-02-25,257.04,259.616,250.42050000000003
2025-02-26,256.18,258.63,250.704
2025-02-27,257.56,258.59000000000003,251.36550000000003
2025-02-28,251.86,256.34000000000003,251.767
2025-03-03,261.09,256.746,252.4125
2025-03-04,250.56,255.45,252.7125
2025-03-05,248.55,253.92399999999998,253.156
2025-03-06,251.87,252.786,253.7165
2025-03-07,248.32,252.07799999999997,253.69050000000001
2025-03-10,244.06,248.67200000000003,253.593
2025-03-11,242.76,247.112,253.763
2025-03-12,242.06,245.81400000000002,253.723
2025-03-13,240.78,243.596,253.3145
2025-03-14,249.56,243.844,252.92900000000003
2025-03-17,243.56,243.744,252.25900000000001
2025-03-18,244.56,244.10399999999998,251.57050000000004
2025-03-19,252.95,246.282,251.1625
2025-03-20,249.71,248.06800000000004,250.76
2025-03-21,243.56,246.868,249.78249999999997
2025-03-24,245.72,247.3,249.11549999999997
2025-03-25,247.04,247.796,248.61549999999997
2025-03-26,244.48,246.102,248.03050000000002
2025-03-27,246.44,245.448,247.47449999999998
2025-03-28,244.36,245.608,247.09949999999998
2025-03-31,240.5,244.564,246.07
2025-04-01,236.62,242.48000000000002,245.373
2025-04-02,236.7,240.92400000000004,244.78050000000002
2025-04-03,230.64,237.76399999999998,243.71899999999997
2025-04-07,202.78,229.448,241.442
2025-04-08,206.61,222.67,239.5695
2025-04-09,198.95,215.13599999999997,237.379
2025-04-10,205.54,208.904,235.55299999999997
2025-04-11,211.56,205.08800000000002,234.092
2025-04-14,211.56,206.844,232.19199999999995
2025-04-15,215.71,208.664,230.7995
2025-04-16,212.45,211.36399999999998,229.19400000000002
2025-04-17,213.56,212.96800000000002,227.22449999999998
2025-04-18,213.02,213.26,225.39000000000001
2025-04-21,218.92,214.73200000000003,224.15800000000004
2025-04-22,222.78,216.14600000000002,223.01100000000002
2025-04-23,225.44,218.744,221.93099999999998
2025-04-24,228.96,221.82399999999998,221.15499999999997
2025-04-25,228.69,224.958,220.2675
2025-04-28,226.94,226.56199999999998,219.3965
2025-04-29,224.12,226.83,218.57750000000001
2025-04-30,223.59,226.45999999999998,217.926
2025-05-06,223.72,225.41199999999998,217.277
2025-05-07,230.7,225.814,217.28000000000003
2025-05-08,236.66,227.75799999999998,218.974
2025-05-09,240.36,231.006,220.66150000000002
2025-05-12,249.09,236.106,223.1685
2025-05-13,250.86,241.53400000000002,225.4345
2025-05-14,254.69,246.33200000000002,227.59099999999998
2025-05-15,252.27,249.454,229.62650000000002
2025-05-16,251.45,251.67200000000003,231.41350000000003
2025-05-19,252.09,252.27200000000002,233.3955
2025-05-20,255.09,253.118,235.47200000000004
2025-05-21,266.17,255.414,238.1295
2025-05-22,262.46,257.452,240.30649999999997
2025-05-23,259.08,258.97799999999995,242.12150000000003
2025-05-26,247.99,258.158,243.24900000000002
2025-05-27,246.08,256.356,244.10500000000002
2025-05-28,245.69,252.26,244.95499999999998
2025-05-29,243.94,248.55599999999998,245.805
2025-05-30,242.09,245.158,246.70350000000002
2025-06-03,243.24,244.208,247.686
2025-06-04,243.14,243.61999999999998,248.65699999999998
2025-06-05,243.59,243.2,249.30149999999998
2025-06-06,240.97,242.606,249.517
2025-06-09,237.67,241.72200000000004,249.3825
2025-06-10,235.23,240.11999999999998,248.6895
2025-06-11,242.59,240.01,248.27599999999998
2025-06-12,241.9,239.67200000000003,247.6365
2025-06-13,240.29,239.536,247.0375
2025-06-16,238.75,239.752,246.4025
2025-06-17,238.35,240.37600000000003,245.71549999999996
2025-06-18,237.66,239.39000000000001,244.84399999999997
2025-06-19,234.19,237.848,243.24499999999998
2025-06-20,232.35,236.26,241.7395
2025-06-23,231.7,234.85,240.3705
2025-06-24,238.01,234.78199999999998,239.87149999999997
2025-06-25,246.99,236.648,239.917
2025-06-26,244.88,238.78599999999997,239.87650000000002
2025-06-27,243.08,240.93200000000002,239.83350000000002
2025-06-30,244.31,243.454,239.94449999999998
2025-07-01,243.59,244.57,239.962
2025-07-02,242.54,243.68,239.93200000000002
2025-07-03,254.68,245.64000000000001,240.48650000000004
2025-07-04,257.89,248.602,241.33249999999998
2025-07-07,252.98,250.336,242.098
2025-07-08,255.4,252.698,243.1065
2025-07-09,262.89,256.76800000000003,244.12150000000003
2025-07-10,264.09,258.65,245.231
2025-07-11,263.59,259.79,246.39600000000002
2025-07-14,260.59,261.312,247.48799999999997
2025-07-15,259.84,262.2,248.5625
2025-07-16,256.49,260.91999999999996,249.504
2025-07-17,257.59,259.62,250.67399999999998
2025-07-18,263.29,259.56,252.221
2025-07-21,271.75,261.79200000000003,254.22349999999997
2025-07-22,278.75,265.57399999999996,256.2605
2025-07-23,279.11,270.09800000000007,257.8665
2025-07-24,277.29,274.038,259.487
2025-07-25,274.89,276.358,261.0775
2025-07-28,278.39,277.68600000000004,262.7815
2025-07-29,283.91,278.718,264.7975
2025-07-30,269.18,276.73199999999997,266.1295
2025-07-31,256.71,272.616,266.231
2025-08-01,255.16,268.67,266.09450000000004
2025-08-04,258.57,264.706,266.37399999999997
2025-08-05,257.79,259.48199999999997,266.4935
2025-08-06,257.09,257.064,266.20349999999996
2025-08-07,255.14,256.75,265.756
2025-08-08,255.57,256.832,265.355
2025-08-11,255.75,256.268,265.113
2025-08-12,255.34,255.77800000000002,264.88800000000003
2025-08-13,265.69,257.498,265.348
2025-08-14,271.98,260.866,266.0675
2025-08-15,272.76,264.304,266.54100000000005
2025-08-18,275.09,268.17199999999997,266.70799999999997
2025-08-19,269.89,271.082,266.265
2025-08-20,272.29,272.402,265.924
2025-08-21,272.09,272.424,265.664
2025-08-22,280.27,273.926,265.933
2025-08-25,283.37,275.582,266.182
2025-08-26,282.59,278.12199999999996,266.116
2025-08-27,271.39,277.942,266.2265
2025-08-28,270.5,277.62399999999997,266.916
2025-08-29,299.27,281.424,269.1215
2025-09-01,297.09,284.168,271.0475
2025-09-02,295.96,286.842,272.956
2025-09-03,302.09,292.982,275.206
2025-09-04,297.12,298.3059999999999,277.30499999999995
2025-09-05,318.2,302.092,280.43649999999997
2025-09-08,318.46,306.366,283.572
2025-09-09,313.09,309.792,286.4595
2025-09-10,309.13,311.2,288.6315
2025-09-11,315.64,314.904,290.8145
2025-09-12,318.09,314.88199999999995,293.08099999999996
2025-09-15,347.79,320.74799999999993,296.716
2025-09-16,346.51,327.43199999999996,300.54699999999997
2025-09-17,370.19,339.64399999999995,305.442
2025-09-18,359.98,348.512,309.8365
2025-09-19,361.58,357.21000000000004,313.902
2025-09-22,363.14,360.28000000000003,317.8905
2025-09-23,361.24,363.226,321.823
2025-09-24,373.02,363.79200000000003,326.9045
2025-09-25,385.94,368.98400000000004,332.6765
2025-09-26,373.49,371.36600000000004,336.3875
2025-09-29,390.46,376.83000000000004,341.056
2025-09-30,395.09,383.6,346.0125
2025-10-09,402.98,389.592,351.057
2025-10-10,375.04,387.412,354.95300000000003
2025-10-13,367.59,386.23199999999997,357.4225
2025-10-14,351.09,378.358,359.054
2025-10-15,362.39,371.818,361.519
2025-10-16,361.59,363.53999999999996,364.142
2025-10-17,351.23,358.77799999999996,365.9215
2025-10-20,359.59,357.178,367.9965
2025-10-21,368.99,360.758,369.05649999999997
2025-10-22,365.95,361.46999999999997,370.0285
2025-10-23,369.54,363.06000000000006,369.996
2025-10-24,378.86,368.586,370.94
2025-10-27,379.27,372.52200000000005,371.8245
2025-10-28,379.57,374.638,372.646
2025-10-29,393.09,380.066,374.23850000000004
2025-10-30,391.38,384.434,375.15649999999994
2025-10-31,381.86,385.034,374.9525
2025-11-03,379.95,385.16999999999996,375.2755
2025-11-04,372.04,383.66400000000004,374.35450000000003
2025-11-05,381.79,381.404,373.6895
2025-11-06,387.77,380.682,372.929
2025-11-07,388.46,382.00200000000007,373.6
2025-11-10,377.6,381.53200000000004,374.1005
2025-11-11,378.69,382.86199999999997,375.4805
2025-11-12,379.47,382.398,376.3345
2025-11-13,408.69,386.582,378.6895
2025-11-14,397.21,388.332,380.98850000000004
2025-11-17,383.87,389.586,382.2025
2025-11-18,378.09,389.466,382.6575
2025-11-19,384.19,390.40999999999997,383.5695
2025-11-20,372.48,383.168,383.71650000000005
2025-11-21,363.09,376.344,382.928
2025-11-24,363.64,372.29799999999994,382.1465
2025-11-25,365.45,369.77,381.4405
2025-11-26,365.91,366.114,380.08149999999995
2025-11-27,364.29,364.476,378.727
2025-11-28,366.29,365.116,377.94849999999997
2025-12-01,376.06,367.6,377.754
2025-12-02,373.17,369.14400000000006,377.8105
2025-12-03,369.17,369.796,377.1795
2025-12-04,376.44,372.226,376.61299999999994
2025-12-05,382.18,375.40400000000005,376.299
2025-12-08,385.59,377.31,376.6985
2025-12-09,380.68,378.812,376.798
2025-12-10,375.47,380.072,376.598
2025-12-11,382.08,381.2,375.2675
2025-12-12,384.89,381.742,374.6515
2025-12-15,378.59,380.342,374.3875
2025-12-16,371.5,378.506,374.058
2025-12-17,376.51,378.714,373.67400000000004
2025-12-18,365.09,375.316,373.30449999999996
2025-12-19,367.09,371.756,373.5045
2025-12-22,364.93,369.024,373.569
2025-12-23,371.19,368.962,373.856
2025-12-24,368.69,367.39799999999997,373.995
2025-12-25,366.1,367.6,374.0855
2025-12-26,367.52,367.68600000000004,374.14700000000005
2025-12-29,362.4,367.18,373.464
2025-12-30,362.29,365.4,372.91999999999996
2025-12-31,360.35,363.73199999999997,372.479
2026-01-05,370.59,364.63,372.1865
2026-01-06,367.08,364.54200000000003,371.4315
2026-01-07,364.1,364.88199999999995,370.35699999999997
2026-01-08,362.3,364.884,369.438
2026-01-09,362.32,365.278,368.7805
2026-01-12,354.77,362.11400000000003,367.415
2026-01-13,352.09,359.116,365.775
2026-01-14,347.07,355.71,364.19899999999996
2026-01-15,346.84,352.61800000000005,362.966
2026-01-16,345.41,349.236,361.41099999999994
2026-01-19,341.99,346.67999999999995,360.256
2026-01-20,342.69,344.8,359.036
2026-01-21,342.9,343.966,357.93449999999996
2026-01-22,338.89,342.376,356.3195
2026-01-23,340.09,341.312,354.8895
2026-01-26,335.14,339.942,353.3415
2026-01-27,332.49,337.902,351.59000000000003
2026-01-28,333.08,335.938,350.124
