Date,Close,MA5,MA20,signal,position,position_change,action,ret,strategy_ret,buyhold_ret,SPY_Close,market_ret,nav_strategy,nav_buyhold,nav_market
2024-09-13,118.91419219970705,113.76057434082031,118.54263687133789,0,0,0.0,,-0.0003357586632147802,-0.0,-0.0003357586632147802,549.0130615234375,0.005222782664183523,0.8525445832679025,0.9641426250948679,1.0132695627117145
2024-09-16,116.59781646728516,115.82117767333985,118.15377769470214,0,0,0.0,,-0.01947938836881402,-0.0,-0.01947938836881402,549.8237915039062,0.0014767043578509664,0.8525445832679025,0.9453617164577172,1.0147658622906486
2024-09-17,115.40966796875,117.31868743896484,117.43495750427246,0,0,0.0,,-0.01019014364534454,-0.0,-0.01019014364534454,550.0484619140625,0.00040862256895390914,0.8525445832679025,0.9357283447702035,1.0151805185241844
2024-09-18,113.19313049316406,116.61378784179688,116.74258308410644,0,0,0.0,,-0.019205821441112936,-0.0,-0.019205821441112936,548.4171142578125,-0.0029658253212330177,0.8525445832679025,0.9177569132631588,1.012169670436723
2024-09-19,117.68611907958984,116.36018524169921,116.21246109008788,1,0,0.0,,0.039693120658917724,0.0,0.039693120658917724,557.7755126953125,0.017064380731744544,0.8525445832679025,0.9541855491568693,1.0294417190581795
2024-09-20,115.81903839111328,115.74115447998047,115.82659378051758,0,1,1.0,买入,-0.015864918505927417,-0.015864918505927417,-0.015864918505927417,556.8113403320312,-0.0017286028901163375,0.8390190329316873,0.939047473179962,1.0276622231274093
2024-09-23,116.07861328125,115.63731384277344,115.17266845703125,1,0,-1.0,卖出,0.002241210890217893,0.0,0.002241210890217893,558.2027587890625,0.0024989046670664816,0.8390190329316873,0.9411520766032845,1.0302302530529504
2024-09-24,120.6814422607422,116.69166870117188,114.89414558410644,1,1,1.0,买入,0.039652687513934026,0.039652687513934026,0.039652687513934026,559.7999267578125,0.002861268497158287,0.8722883924627707,0.9784712857999246,1.0331780184208301
2024-09-25,123.31731414794922,118.71650543212891,114.65556640625,1,1,0.0,,0.021841567666319284,0.021841567666319284,0.021841567666319284,558.5653076171875,-0.0022054649913506585,0.8913405384112911,0.9998426325982741,1.03089938047137
2024-09-26,123.8464813232422,119.94857788085938,114.57772445678711,1,1,0.0,,0.004291102015554049,0.004291102015554049,0.004291102015554049,560.77978515625,0.0039645812385114,0.8951653715922129,1.0041330593342535,1.0349864648139797
2024-09-27,121.21060943603516,121.02689208984376,114.76843032836913,1,1,0.0,,-0.021283381320518546,-0.021283381320518546,-0.021283381320518546,559.9664306640625,-0.0014503990937563271,0.8761132256436921,0.9827617125359036,1.0334853213833635
2024-09-30,121.25054931640624,122.061279296875,114.87227897644043,1,1,0.0,,0.0003295081227370211,0.0003295081227370211,0.0003295081227370211,562.21044921875,0.004007416216051274,0.876401912067979,0.9830855405028991,1.0376269272193261
2024-10-01,116.81745910644533,121.28848266601562,115.3220371246338,1,1,0.0,,-0.03656140310253486,-0.03656140310253486,-0.03656140310253486,557.173828125,-0.008958604559465067,0.8443594284810293,0.9471425537722993,1.0283312378981153
2024-10-02,118.66458129882812,120.35793609619141,115.95350456237793,1,1,0.0,,0.015812038769818404,0.015812038769818404,0.015812038769818404,557.4090576171875,0.00042218331212562354,0.857710472499833,0.9621188085530917,1.0287653821860934
2024-10-03,122.6583480834961,120.12030944824218,116.73474235534668,1,1,0.0,,0.033655929519614824,0.033655929519614824,0.033655929519614824,556.3899536132812,-0.0018282874847113106,0.8865775157105229,0.9944998113632504,1.0268845033131382
2024-10-04,124.72511291503906,120.82321014404297,117.83795776367188,1,1,0.0,,0.01684976900337909,0.01684976900337909,0.01684976900337909,561.4461669921875,0.009087535362690247,0.9015161420538349,1.0112569034586252,1.036216352550395
2024-10-07,127.52073669433594,122.0772476196289,118.8992546081543,1,1,0.0,,0.02241428140619295,0.02241428140619295,0.02241428140619295,556.370361328125,-0.009040591890144833,0.9217229785540549,1.033923500266702,1.0268483433970923
2024-10-08,132.68267822265625,125.25029144287109,120.13728256225586,1,1,0.0,,0.040479232336097404,0.040479232336097404,0.040479232336097404,561.6323852539062,0.009457771821669514,0.9590336171524643,1.0757759298517489,1.0365600407244013
2024-10-09,132.44305419921875,128.00598602294923,120.92355384826661,1,1,0.0,,-0.0018059932663959666,-0.0018059932663959666,-0.0018059932663959666,565.5224609375,0.006926373524267282,0.9573016088976396,1.0738330857662857,1.0437396427467882
2024-10-10,134.5996856689453,130.39425354003907,121.70583152770996,1,1,0.0,,0.016283462222810074,0.016283462222810074,0.016283462222810074,564.5327758789062,-0.0017500366951881396,0.9728897934819596,1.0913188062519645,1.0419130600717588
2024-10-11,134.58970642089844,132.36717224121094,122.48960723876954,1,1,0.0,,-7.414020320539727e-05,-7.414020320539727e-05,-7.414020320539727e-05,567.9132690429688,0.005988125594301508,0.9728176632349744,1.091237895653907,1.0481521663338114
2024-10-14,137.85459899902344,134.43394470214844,123.55244636535645,1,1,0.0,,0.02425811501449293,0.02425811501449293,0.02425811501449293,572.5579223632812,0.008178455361924408,0.9964163859978586,1.1177092700348528,1.0567244320386768
2024-10-15,131.39468383789062,134.1763458251953,124.35169715881348,1,1,0.0,,-0.0468603529228544,-0.0468603529228544,-0.0468603529228544,568.1093139648438,-0.00776970892320461,0.9497239624918838,1.0653330191758736,1.0485139907896976
2024-10-16,135.5082550048828,134.7893859863281,125.46745338439942,1,1,0.0,,0.031306983257156196,0.031306983257156196,0.031306983257156196,570.5785522460938,0.0043464140096862725,0.9794569546845373,1.0986853821705085,1.053071266688618
2024-10-17,136.71636962890625,135.2127227783203,126.41896591186523,1,1,0.0,,0.008915431934238383,0.008915431934238383,0.008915431934238383,570.6275024414062,8.579045798295937e-05,0.9881892364965437,1.1084806369123923,1.0531616101548757
2024-10-18,137.7847137451172,135.85172424316406,127.51724967956542,1,1,0.0,,0.007814310159864446,0.007814310159864446,0.007814310159864446,572.8224487304688,0.003846548369420555,0.9959112536871673,1.1171426484154299,1.0572126472291532
2024-10-21,143.48580932617188,136.97796630859375,128.88760948181152,1,1,0.0,,0.04137683655968494,0.04137683655968494,0.04137683655968494,571.8817749023438,-0.001642173469649788,1.037118910858932,1.1633664771927688,1.0554765206680952
2024-10-22,143.36598205566406,139.37222595214843,130.0218364715576,1,1,0.0,,-0.0008351158283215199,-0.0008351158283215199,-0.0008351158283215199,571.5779418945312,-0.0005312863972004589,1.036252796440622,1.1623949314335265,1.0549157603500998
