Date,Close,MA5,MA20,signal,position,position_change,action
2025-02-20,139.90106201171875,138.36934509277344,130.54103660583496,1,1,0.0,
2025-02-21,134.22952270507812,138.19760131835938,129.90248908996583,1,1,0.0,
2025-02-24,130.08572387695312,136.4861572265625,129.28641014099122,1,1,0.0,
2025-02-25,126.44114685058594,133.93596496582032,129.696297454834,1,1,0.0,
2025-02-26,131.08421325683594,132.34833374023438,129.81062545776368,1,1,0.0,
2025-02-27,119.97081756591795,128.3622848510742,129.633390045166,0,1,0.0,
2025-02-28,124.73371124267578,126.46312255859375,129.64687004089356,0,0,-1.0,卖出
2025-03-03,113.88990020751952,123.22395782470703,129.34681816101073,0,0,0.0,
2025-03-04,115.81703186035156,121.09913482666016,129.31336822509766,0,0,0.0,
2025-03-05,117.12507629394533,118.30730743408203,129.2459690093994,0,0,0.0,
2025-03-06,110.40511322021484,116.3941665649414,128.53403244018554,0,0,0.0,
2025-03-07,112.5219497680664,113.95181427001953,127.73572578430176,0,0,0.0,
2025-03-10,106.8204574584961,112.53792572021484,126.59443054199218,0,0,0.0,
2025-03-11,108.59781646728516,111.09408264160156,125.3557804107666,0,0,0.0,
2025-03-12,115.5780258178711,110.78467254638672,124.50458297729492,0,0,0.0,
2025-03-13,115.41825103759766,111.78730010986328,123.72827415466308,0,0,0.0,
2025-03-14,121.49972534179688,113.58285522460938,123.04884834289551,0,0,0.0,
2025-03-17,119.36272430419922,116.09130859375,122.0848373413086,0,0,0.0,
2025-03-18,115.26846313476562,117.4254379272461,120.88865509033204,0,0,0.0,
2025-03-19,117.35552978515624,117.78093872070312,119.80531311035156,0,0,0.0,
2025-03-20,118.36412048339844,118.37011260986328,118.72846603393555,0,0,0.0,
2025-03-21,117.5352783203125,117.57722320556641,117.89375381469726,0,0,0.0,
2025-03-24,121.24009704589844,117.95269775390625,117.45147247314453,1,0,0.0,
2025-03-25,120.5210952758789,119.0032241821289,117.15546989440918,1,1,1.0,买入
2025-03-26,113.60079956054688,118.25227813720703,116.28129920959472,1,1,0.0,
2025-03-27,111.27405548095705,116.83426513671876,115.84646110534668,1,1,0.0,
2025-03-28,109.51651763916016,115.23051300048829,115.08560142517089,1,1,0.0,
2025-03-31,108.22832489013672,112.62815856933594,114.80252265930176,0,1,0.0,
2025-04-01,109.99585723876952,110.52311096191406,114.51146392822265,0,0,-1.0,卖出
2025-04-02,110.26546478271484,109.85604400634766,114.16848335266113,0,0,0.0,
2025-04-03,101.65754699707033,107.93274230957032,113.73110504150391,0,0,0.0,
2025-04-04,94.1780242919922,104.86504364013672,112.8139087677002,0,0,0.0,
2025-04-07,97.50335693359376,102.72005004882813,112.34805374145508,0,0,0.0,
2025-04-08,96.1652374267578,99.95392608642578,111.7264247894287,0,0,0.0,
2025-04-09,114.17000579833984,100.73483428955078,111.65602378845215,0,0,0.0,
2025-04-10,107.4194564819336,101.88721618652343,111.25608406066894,0,0,0.0,
2025-04-11,110.77476501464844,105.2065643310547,110.71983604431152,0,0,0.0,
2025-04-14,110.55506896972656,107.81690673828125,110.27945327758789,0,0,0.0,
2025-04-15,112.04297637939452,110.9924545288086,110.11817893981933,1,0,0.0,
2025-04-16,104.34376525878906,109.02720642089844,109.46759071350098,0,1,1.0,买入
2025-04-17,101.34796905517578,107.81290893554687,108.61678314208984,0,0,-1.0,卖出
2025-04-21,96.77438354492188,105.01283264160156,107.57873840332032,0,0,0.0,
2025-04-22,98.75160217285156,102.65213928222656,106.45431365966797,0,0,0.0,
2025-04-23,102.56625366210938,100.75679473876953,105.55657157897949,0,0,0.0,
2025-04-24,106.2810516357422,101.14425201416016,105.19058418273926,0,0,0.0,
2025-04-25,110.85465240478516,103.04558868408203,105.16961402893067,0,0,0.0,
2025-04-28,108.57784271240234,105.40628051757812,105.12268028259277,1,0,0.0,
2025-04-29,108.86742401123048,107.4294448852539,105.15463523864746,1,1,1.0,买入
2025-04-30,108.76756286621094,108.66970672607422,105.09322052001953,1,1,0.0,
2025-05-01,111.4538116455078,109.70425872802734,105.15263786315919,1,1,0.0,
2025-05-02,114.33976745605467,110.40128173828126,105.7867488861084,1,1,0.0,
2025-05-05,113.66071319580078,111.41785583496093,106.76088333129883,1,1,0.0,
2025-05-06,113.38111114501952,112.32059326171876,107.55477104187011,1,1,0.0,
2025-05-07,116.89617919921876,113.94631652832031,108.59131813049316,1,1,0.0,
2025-05-08,117.20574951171876,115.0967041015625,108.74310531616212,1,1,0.0,
2025-05-09,116.48676300048828,115.52610321044922,109.19647064208985,1,1,0.0,
2025-05-12,122.82787322998048,117.35953521728516,109.79912605285645,1,1,0.0,
2025-05-13,129.7481689453125,120.63294677734375,110.75878105163574,1,1,0.0,
2025-05-14,135.15060424804688,124.28383178710938,111.91416244506836,1,1,0.0,
2025-05-15,134.64129638671875,127.77094116210938,113.42903900146484,1,1,0.0,
2025-05-16,135.21051025390625,131.51569061279298,115.12216606140137,1,1,0.0,
2025-05-19,135.3802947998047,134.02617492675782,117.05246162414551,1,1,0.0,
2025-05-20,134.1919403076172,134.91492919921876,118.8244785308838,1,1,0.0,
2025-05-21,131.61557006835938,134.20792236328126,120.27694435119629,1,1,0.0,
2025-05-22,132.64410400390625,133.80848388671876,121.5950969696045,1,1,0.0,
2025-05-23,131.1062469482422,132.98763122558594,122.60767669677735,1,1,0.0,
2025-05-27,135.31036376953125,132.97364501953126,123.94430274963379,1,1,0.0,
2025-05-28,134.62132263183594,133.059521484375,125.23199768066407,1,1,0.0,
2025-05-29,138.99520874023438,134.53544921875,126.74337997436524,1,1,0.0,
2025-05-30,134.94090270996094,134.99480895996095,127.9177345275879,1,1,0.0,
2025-06-02,137.187744140625,136.2111083984375,129.0601333618164,1,1,0.0,
2025-06-03,141.02236938476562,137.35350952148437,130.42821617126464,1,1,0.0,
