Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2024-12-06,620.2017822265625,626.1873039273537,605.0489714012239,606.6099369109293,16935500
2024-12-09,610.0601196289062,622.8167434326103,602.7024265777296,620.350888846341,11426000
2024-12-10,615.7771606445312,622.0113122599781,609.2347848248279,614.0272190903004,10938900
2024-12-11,629.060791015625,634.7481017123007,617.9746102226054,619.804050647096,10837200
2024-12-12,627.1815795898438,633.0179957315453,623.6221024715439,627.8875399219128,7474700
2024-12-13,616.80126953125,627.469929936179,613.3611012669363,623.6319649076017,8453300
2024-12-16,621.1697387695312,628.0457867533739,615.5376035416824,626.8814975325155,10885600
2024-12-17,616.3933715820312,629.2597698587709,613.5076105410767,623.0902515630854,12897800
2024-12-18,594.2528076171875,624.2744037203172,593.387091448316,617.945699059959,17075500
2024-12-19,592.6406860351562,608.5122478337648,592.0734823017316,607.3878008993366,14958100
2024-12-20,582.3714599609375,600.143601343373,577.1472819775203,587.6752614717944,48989400
2024-12-23,596.8995971679688,598.1335492116074,583.366513431805,586.7000120717197,10205800
2024-12-24,604.7608642578125,604.99967413285,596.3325519539701,599.7555744761255,4726100
2024-12-26,600.3824462890625,603.3179490935831,595.994163249834,602.5019749107529,6081400
2024-12-27,596.8599243164062,598.8898690255031,586.8991472446073,596.4618673609139,8084200
2024-12-30,588.33203125,594.0040084763427,582.6998961577467,585.854287801351,7025900
2024-12-31,582.6302490234375,591.0486006579675,580.9783795227164,589.3570104919964,6019500
2025-01-02,596.2926025390625,601.934697394125,584.9287893065956,586.8194076338101,12682300
2025-01-03,601.6561889648438,606.5022314682295,593.4765866809927,601.7855544308446,11436800
2025-01-06,627.1004028320312,627.8864953892827,602.641281410124,608.8207596792694,14560800
2025-01-07,614.8509521484375,628.9910220723464,605.2384303850833,628.5930258941997,12071500
2025-01-08,607.7162475585938,613.4081462857669,599.8252572139608,610.3831198774918,10085800
2025-01-10,612.8308715820312,626.8117543633127,594.4020036952091,607.0295902270824,19256600
2025-01-13,605.3380126953125,605.9748187670136,595.5066015316934,604.1140210154849,10785000
2025-01-14,591.3272705078125,602.5119785361296,585.6552929558646,602.0940612489228,13598000
2025-01-15,614.0846557617188,619.3984173951854,603.516895686969,607.2086697081857,15524300
2025-01-16,608.2932739257812,613.2189392153532,606.7111284430702,608.4923023613607,8355300
2025-01-17,609.7561645507812,621.8961113451103,600.7008856525179,620.9806532892833,17280600
2025-01-21,613.4278564453125,618.4430444666731,606.0144884153361,614.7911130039254,11674000
2025-01-22,620.433349609375,630.5831936184607,616.3833603918935,620.2343211513619,12274000
2025-01-23,633.319580078125,633.4688058497244,618.0948465430561,624.2742632730533,9910200
2025-01-24,644.3052978515625,648.7931250445398,631.0806868452225,633.2698782484986,19065300
2025-01-27,656.6344604492188,660.6048263723562,622.025492753922,623.5280757089856,28399200
2025-01-28,671.0133666992188,679.222789585596,656.2264085295512,662.7243202820943,20950100
2025-01-29,673.1627197265625,677.7002892439266,662.3959298804792,671.6800579089199,21377800
2025-01-30,683.6209716796875,707.2939380483791,672.7745593343109,693.3926790288638,29322900
2025-01-31,685.790283203125,701.8309926464267,682.2080139805101,687.6013388802664,19303900
2025-02-03,694.0297241210938,700.5375367599281,671.9289370698033,672.5856642871295,21415700
2025-02-04,700.7265625,704.2292694079568,688.2084181057377,699.0448720510054,13826300
2025-02-05,701.403076171875,714.6078268132073,695.5719132902365,700.0895613334081,17778200
2025-02-06,708.4881591796875,715.364207246352,700.0399258686745,702.4082250040422,13080700
2025-02-07,711.0056762695312,721.4440718312758,708.249280988419,713.2744305821955,16427100
2025-02-10,713.8715209960938,717.652818700605,707.8313687608933,715.0257888589608,12904300
2025-02-11,716.2597045898438,720.1007048878689,706.5476987131067,709.8115954275665,12998000
2025-02-12,721.8123168945312,723.5238281436095,709.0951445232752,711.7818770685368,12016500
2025-02-13,724.9766235351562,725.4144618537392,714.5083460221898,717.9712711727863,12569100
2025-02-14,733.0466918945312,737.2658278537506,722.0510531620941,722.5685149916063,16901200
2025-02-18,712.8465576171875,733.3750946365709,702.9654052178096,732.3800130970368,21938700
2025-02-19,700.30859375,703.5226878675882,691.9698051227019,700.6369269472729,17535500
2025-02-20,691.4224853515625,702.1593933249234,690.228375354197,693.8504867433877,12587400
2025-02-21,680.1879272460938,700.4079900217689,679.0037778663954,693.1538679639241,15660400
2025-02-24,664.8438110351562,683.8896856241412,659.1917553729045,682.9045646514273,15677000
2025-02-25,654.26611328125,664.7144694629277,638.703023401866,662.6944247816905,20579700
2025-02-26,670.386474609375,679.6506817176414,654.763681609393,656.4055905153153,14488700
2025-02-27,655.00244140625,685.2629040436697,654.3357538023921,679.0933865536915,12500000
2025-02-28,664.9135131835938,666.3364725318584,639.4393887052988,654.8034504822056,17534200
2025-03-03,651.828125,677.8992724698688,647.638870751695,670.3664982200642,10843800
2025-03-04,636.852294921875,646.5543416023255,620.5827332440298,642.3352048660629,21495200
2025-03-05,653.2411499023438,656.256276123591,634.523668550264,637.847267619745,13770000
2025-03-06,624.841552734375,647.3602531536812,621.040333910999,644.812846805576,13446500
2025-03-07,622.5827026367188,631.6678021460568,597.6559216844704,622.294150848658,21375700
2025-03-10,595.0487060546875,607.1090875487739,583.9834059428521,605.079143393563,21999900
2025-03-11,602.7308349609375,611.9054572036264,590.4117211785095,592.1232321992892,17401500
2025-03-12,616.5126342773438,630.2149246910475,606.3528312442298,626.8018027522027,15747000
2025-03-13,587.7349853515625,617.4481060645986,583.6252936627146,617.1993356753703,16480300
2025-03-14,605.1494750976562,606.4044031406513,592.381232702444,600.3688460487675,12364500
2025-03-17,602.46044921875,610.6273298059427,595.5882527559658,605.0101222504932,15473900
2025-03-18,580.0112915039062,597.8291546165306,572.3423339224544,597.6299490711036,20297700
2025-03-19,581.7044677734375,589.9311646960157,572.4519564790293,581.9236121177603,20537500
2025-03-20,583.6365966796875,607.7390075399582,577.1727812993547,580.4096736870833,24336500
2025-03-21,593.84521484375,595.1299901540924,578.6069346961235,581.0669435562578,25015900
2025-03-24,616.35400390625,620.0291236750295,609.7308614385815,612.4896480218807,15741300
2025-03-25,623.7840576171875,631.3235347184631,618.6747423038911,624.2322549021957,15312500
2025-03-26,608.5157470703125,624.2221622117868,604.1633772244318,622.3696786412489,12609800
